order_id,date,region,store,product,size,qty,unit_price,discount_pct,revenue,customer_id,customer_type,payment_method,note
ORD100000,2024-04-12 18:00:00,Cairo,Maadi,Americano,S,1,28.5,0,28.5,CUST5439,Returning,Card,
ORD100001,2024-12-14 08:00:00,Giza,Cairo Central,Flat White,S,1,39.9,0,39.9,CUST6972,Returning,Card,
ORD100002,2024-09-27 11:00:00,Cairo,Nasr City,Cappuccino,L,2,47.25,0,94.5,CUST1858,Returning,Cash,
ORD100003,2024-04-16 07:00:00,Giza,Alex Shop,Flat White,M,1,42.0,0,42.0,CUST6519,New,Cash,
ORD100004,2024-03-12 13:00:00,Cairo,Cairo Central,Latte,M,3,40.0,0,120.0,CUST8385,New,Card,
ORD100005,2024-07-07 07:00:00,Cairo,Cairo Central,Latte,M,3,40.0,5,114.0,CUST9636,Returning,Card,
ORD100006,2024-01-21 10:00:00,Cairo,Alex Shop,Mocha,M,2,50.0,0,100.0,CUST5317,Returning,Cash,
ORD100007,2024-04-12 15:00:00,Cairo,Alex Shop,Espresso,S,1,23.75,0,23.75,CUST4454,Returning,Card,
ORD100008,2024-05-01 07:00:00,Cairo,Cairo Central,Cold Brew,M,3,48.0,0,144.0,CUST2030,Returning,Cash,
ORD100009,2024-08-02 10:00:00,Cairo,Maadi,Cappuccino,S,2,42.75,0,85.5,CUST8906,Returning,Card,promo
ORD100010,2024-11-26 12:00:00,Giza,Giza Branch,Mocha,M,1,50.0,0,50.0,CUST2447,New,Mobile Wallet,
ORD100011,2024-03-28 12:00:00,Giza,Giza Branch,Cappuccino,M,3,45.0,0,135.0,CUST3850,New,Card,
ORD100012,2024-04-09 18:00:00,Cairo,Cairo Central,Espresso,M,3,25.0,0,75.0,CUST9106,Returning,Cash,
ORD100013,2024-12-25 21:00:00,Cairo,Maadi,Iced Latte,M,2,46.0,0,92.0,CUST8151,Returning,Card,
ORD100014,2024-05-31 19:00:00,Cairo,Alex Shop,Flat White,M,1,42.0,0,42.0,CUST7952,Returning,Cash,
ORD100015,2024-05-10 14:00:00,Cairo,Zamalek,Flat White,S,1,39.9,0,39.9,CUST5055,New,Card,
ORD100016,2024-05-29 07:00:00,Cairo,Cairo Central,Cold Brew,M,3,48.0,0,144.0,CUST6402,Returning,Card,
ORD100017,2024-11-04 13:00:00,Cairo,Nasr City,Espresso,S,3,23.75,0,71.25,CUST2672,Returning,Card,
ORD100018,2024-09-14 07:00:00,Alexandria,Maadi,Mocha,S,3,47.5,0,142.5,CUST5532,Returning,Cash,
ORD100019,2024-12-09 19:00:00,Giza,Nasr City,Cold Brew,S,1,45.6,0,45.6,CUST5924,Returning,Mobile Wallet,
ORD100020,2024-10-20 20:00:00,Cairo,Nasr City,Espresso,M,2,25.0,10,45.0,CUST7085,Returning,Card,
ORD100021,2024-07-10 13:00:00,Cairo,Cairo Central,Americano,M,2,30.0,0,60.0,CUST8734,Returning,Cash,promo
ORD100022,2024-10-03 09:00:00,Cairo,Maadi,Latte,S,1,38.0,0,38.0,CUST5864,Returning,Card,
ORD100023,2024-06-09 17:00:00,Giza,Nasr City,Cold Brew,M,2,48.0,0,96.0,CUST2221,New,Card,
ORD100024,2024-11-09 14:00:00,Cairo,Maadi,Cold Brew,M,3,48.0,0,144.0,CUST3860,Returning,Card,
ORD100025,2024-01-22 09:00:00,Cairo,Giza Branch,Mocha,S,2,47.5,0,95.0,CUST9428,New,Card,
ORD100026,2024-09-09 20:00:00,Giza,Zamalek,Cappuccino,L,2,47.25,0,94.5,CUST4253,Returning,Card,
ORD100027,2024-08-23 20:00:00,Cairo,Nasr City,Americano,M,2,30.0,0,60.0,CUST4782,Returning,Cash,
ORD100028,2024-12-10 19:00:00,Cairo,Nasr City,Mocha,M,3,50.0,0,150.0,CUST7957,Returning,Card,
ORD100029,2024-02-18 07:00:00,Cairo,Maadi,Espresso,M,1,25.0,0,25.0,CUST1766,Returning,Card,
ORD100030,2024-02-28 19:00:00,Cairo,Zamalek,Espresso,S,3,23.75,0,71.25,CUST3681,Returning,Cash,
ORD100031,2024-06-18 19:00:00,Cairo,Giza Branch,Espresso,M,1,25.0,0,25.0,CUST8710,Returning,Card,
ORD100032,2024-07-06 20:00:00,Cairo,Nasr City,Iced Latte,M,1,46.0,0,46.0,CUST8482,Returning,Mobile Wallet,
ORD100033,2024-09-27 14:00:00,Cairo,Cairo Central,Espresso,L,1,26.25,0,26.25,CUST6086,Returning,Mobile Wallet,
ORD100034,2024-07-08 09:00:00,Cairo,Maadi,Cappuccino,S,2,42.75,0,85.5,CUST8964,Returning,Cash,
ORD100035,2024-06-23 08:00:00,Giza,Maadi,Americano,M,2,30.0,0,60.0,CUST3665,Returning,Cash,
ORD100036,2024-02-20 07:00:00,Cairo,Nasr City,Flat White,M,1,42.0,0,42.0,CUST4513,Returning,Card,
ORD100037,2024-12-29 20:00:00,Cairo,Giza Branch,Latte,S,1,38.0,0,38.0,CUST1495,Returning,Cash,
ORD100038,2024-02-24 09:00:00,Cairo,Nasr City,Cappuccino,M,2,45.0,0,90.0,CUST6822,Returning,Mobile Wallet,
ORD100039,2024-08-31 21:00:00,Giza,Alex Shop,Cappuccino,M,3,45.0,0,135.0,CUST3072,New,Cash,
ORD100040,2024-11-15 08:00:00,Giza,Nasr City,Iced Latte,L,1,48.3,10,43.47,CUST8795,New,Cash,
ORD100041,2024-05-10 08:00:00,Cairo,Zamalek,Flat White,M,3,42.0,0,126.0,CUST9529,New,Card,
ORD100042,2024-11-02 12:00:00,Cairo,Zamalek,Flat White,M,2,42.0,0,84.0,CUST4949,Returning,Cash,
ORD100043,2024-05-14 18:00:00,Giza,Alex Shop,Latte,L,1,42.0,0,42.0,CUST7033,Returning,Card,
ORD100044,2024-01-21 07:00:00,Cairo,Zamalek,Latte,L,3,42.0,0,126.0,CUST9328,Returning,Card,
ORD100045,2024-11-24 08:00:00,Cairo,Zamalek,Flat White,S,3,39.9,15,101.74,CUST3555,Returning,Cash,
ORD100046,2024-06-15 20:00:00,Alexandria,Cairo Central,Espresso,M,3,25.0,0,75.0,CUST7370,Returning,Cash,
ORD100047,2024-09-30 12:00:00,Cairo,Maadi,Cappuccino,M,2,45.0,0,90.0,CUST5415,Returning,Card,
ORD100048,2024-03-29 09:00:00,Alexandria,Zamalek,Mocha,L,2,52.5,0,105.0,CUST6959,New,Cash,
ORD100049,2024-11-11 21:00:00,Giza,Maadi,Latte,M,3,40.0,0,120.0,CUST6993,New,Card,
ORD100050,2024-01-14 10:00:00,Cairo,Giza Branch,Iced Latte,S,3,43.7,0,131.1,CUST6021,Returning,Card,
ORD100051,2024-08-29 07:00:00,Alexandria,Nasr City,Iced Latte,M,2,46.0,0,92.0,CUST3907,Returning,Card,
ORD100052,2024-09-21 14:00:00,Giza,Cairo Central,Latte,M,3,40.0,0,120.0,CUST3914,Returning,Mobile Wallet,
ORD100053,2024-12-11 19:00:00,Cairo,Alex Shop,Flat White,L,3,44.1,0,132.3,CUST4870,New,Mobile Wallet,
ORD100054,2024-02-22 13:00:00,Cairo,Giza Branch,Americano,L,2,31.5,0,63.0,CUST6085,Returning,Mobile Wallet,
ORD100055,2024-12-05 13:00:00,Cairo,Cairo Central,Mocha,M,3,50.0,0,150.0,CUST7546,Returning,Cash,
ORD100056,2024-04-01 09:00:00,Cairo,Cairo Central,Mocha,S,3,47.5,0,142.5,CUST1395,New,Cash,
ORD100057,2024-09-20 16:00:00,Giza,Alex Shop,Latte,M,3,40.0,0,120.0,CUST1938,New,Cash,
ORD100058,2024-02-04 16:00:00,Cairo,Alex Shop,Espresso,S,2,23.75,0,47.5,CUST3510,New,Card,
ORD100059,2024-07-24 09:00:00,Cairo,Maadi,Americano,S,3,28.5,0,85.5,CUST5636,Returning,Mobile Wallet,
ORD100060,2024-03-21 20:00:00,Cairo,Nasr City,Mocha,L,2,52.5,0,105.0,CUST2649,New,Card,promo
ORD100061,2024-02-19 08:00:00,Giza,Giza Branch,Latte,S,2,38.0,5,72.2,CUST4690,Returning,Cash,
ORD100062,2024-12-25 18:00:00,Cairo,Nasr City,Iced Latte,M,1,46.0,0,46.0,CUST4435,Returning,Mobile Wallet,
ORD100063,2024-01-02 07:00:00,Cairo,Giza Branch,Mocha,L,1,52.5,0,52.5,CUST4201,New,Card,
ORD100064,2024-02-23 13:00:00,Cairo,Cairo Central,Cold Brew,M,3,48.0,0,144.0,CUST5179,New,Cash,
ORD100065,2024-04-15 13:00:00,Cairo,Zamalek,Americano,S,2,28.5,5,54.15,CUST9405,Returning,Card,
